# Source http://www.theguardian.com/news/datablog/2010/oct/16/greatest-films-of-all-time
Entry|Film|Director|Leading actors|Year of cinema release|No of Oscars won|IMDB link|Guardian film page|Country
14|Umbrellas of Cherbourg|Jaques Demy |Anne Vernon, Catherine Deneuve, Nino Castelnuovo|1964||http://www.imdb.com/title/tt0058450/|http://www.guardian.co.uk/film/movie/77848/umbrellas.of.cherbourg|France
15|Lost in Translation|Sofia Coppola|Bill Murray, Giovanni Ribisi, Scarlett Johansson|2003|1|http://www.imdb.com/title/tt0335266/|http://www.guardian.co.uk/film/movie/96936/lost.in.translation|USA
18|My Night With Maud|Eric Rohmer| Francoise Fabian, Jean-Louis Trintignant|1969||http://www.imdb.com/title/tt0064612/|http://www.guardian.co.uk/film/movie/77331/my-night-with-maud|France
19|Voyage to Italy|Roberto Rossellini|Ingrid Bergman|1954||http://www.imdb.com/title/tt0046511/|http://www.guardian.co.uk/film/movie/88522/voyage-to-italy|Italy
20|Dr Zhivago|David Lean|Geraldine Chaplin, Julie Christie, Omar Sharif|1965|5|http://www.imdb.com/title/tt0059113/|http://www.guardian.co.uk/film/movie/78519/dr-zhivago|USA
210|Goodfellas|Martin Scorsese| Frank Vincent, Joe Pesci, Lorraine Bracco, Ray Liotta, Robert De Niro|1990|1|http://www.imdb.com/title/tt0099685/|http://www.guardian.co.uk/film/movie/37702/goodfellas|USA
218|Hard Boiled|John Woo|Chow Yun Fat, Tony Leung|1992||http://www.imdb.com/title/tt0104684/|http://www.guardian.co.uk/film/movie/82687/hard-boiled|Hong Kong
219|Long Good Friday|John McKenzie|Bob Hoskins, Bryan Marshall, Dave King, Helen Mirren|1980||http://www.imdb.com/title/tt0081070/|http://www.guardian.co.uk/film/movie/36322/long.good.friday|UK
21|Chinatown|Roman Polanski|Faye Dunaway, Jack Nicholson, John Huston|1974|1|http://www.imdb.com/title/tt0071315/|http://www.guardian.co.uk/film/movie/36302/chinatown|USA
220|A Prophet|Jacques Audiard |Adel Bencherif, Niels Arestrup, Tahar Rahim, Tahar Ramin|2009||http://www.imdb.com/title/tt1235166/|http://www.guardian.co.uk/film/movie/129970/prophet|France
220|Scarface (1983)|Brian De Palma|Al Pacino, Mary Elizabeth Mastrantonio, Michelle Pfeiffer, Robert Loggia, Steven Bauer|1983||http://www.imdb.com/title/tt0086250/|http://www.guardian.co.uk/film/movie/78370/scarface|USA
223|Miller’s Crossing|Joel Coen|Albert Finney, Gabriel Byrne, Marcia| Gay Harden|1990||http://www.imdb.com/title/tt0100150/|http://www.guardian.co.uk/film/movie/78569/miller.s.crossing|USA
224|Postman Always Rings Twice  (1942)|Tay Garnett|Cecil Kellaway, John Garfield, Lana Turner|1946||http://www.imdb.com/title/tt0038854/|http://www.guardian.co.uk/film/movie/90190/postman-always-rings-twice|USA
225|Jour Se Leve|Marcel Carne|Annabella, Arletty, Jean Gabin|1939||http://www.imdb.com/title/tt0031514/|http://www.guardian.co.uk/film/movie/76684/jour-se-leve|France
22|Touch of Evil|Orson Welles|Charlton Heston, Janet Leigh, Marlene Dietrich, Orson Welles, Zsa Zsa Gabor|1958||http://www.imdb.com/title/tt0052311/|http://www.guardian.co.uk/film/movie/36217/touch.of.evil|USA
23|Say Anything....|Cameron crowe|John Cusack, Ione Skye, John Mahoney|1989||http://www.imdb.com/title/tt0098258/||USA
214|French Connection|William Friedkin|Fernando Rey, Gene Hackman, Roy Schieder, Tony Lo Bianco|1971|5|http://www.imdb.com/title/tt0067116/|http://www.guardian.co.uk/film/movie/36293/french-connection|USA
215|The Big Sleep|Howard Hawkes|Bob Steele, Elisha Cook Jr, Elisha Cook Jr., Humphrey Bogart, Lauren Bacall|1946||http://www.imdb.com/title/tt0038355/|http://www.guardian.co.uk/film/movie/34621/big-sleep|USA
216|La Ceremonie|Claude Chabrol|Isabelle Huppert, Jacqueline Bisset, Sandrine Bonnaire|1995||http://www.imdb.com/title/tt0112769/|http://www.guardian.co.uk/film/movie/80763/ceremonie|France
217|Point Blank|John Boorman|Angie Dickinson, Keenan Wynn, Lee Marvin|1967||http://www.imdb.com/title/tt0062138/|http://www.guardian.co.uk/film/movie/36266/point-blank|USA
23|Vertigo|Alfred Hitchcock|Barbara Bel Geddes, James Stewart, Kim Novak|1958||http://www.imdb.com/title/tt0052357/|http://www.guardian.co.uk/film/movie/34909/vertigo|USA
240|When Harry Met Sally|Rob Reiner|Billy Crystal, Bruno Kirby, Carrie Fisher, Meg Ryan|1989||http://www.imdb.com/title/tt0098635/|http://www.guardian.co.uk/film/movie/75869/when-harry-met-sally.|USA
24|Badlands|Terrence Malik|Alan Vint, Martin Sheen, Ramon Bieri, Sissy Spacek, Warren Oates|1973||http://www.imdb.com/title/tt0069762/|http://www.guardian.co.uk/film/movie/76181/badlands|USA
24|Fabulous Baker Boys|Steve Kloves|Beau Bridges, Jeff Bridges, Michelle Pfeiffer|1989||http://www.imdb.com/title/tt0097322/|http://www.guardian.co.uk/film/movie/134648/fabulous-baker-boys|USA
25|A Matter of Life & Death| Emeric Pressburger, Michael Powell| David Niven, Kim Hunter, Raymond Massey, Richard Attenborough, Roger Livesey|1946||http://www.imdb.com/title/tt0038733/|http://www.guardian.co.uk/film/movie/36173/matter.of.life.and.death|UK
26|Rashomon|Akira Kurosawa|Machiko Kyo, Masayuki Mori, Toshiro Mifune|1950||http://www.imdb.com/title/tt0042876/|http://www.guardian.co.uk/film/movie/83179/rashomon|Japan
270|Heat|Michael Mann|Al Pacino, Ashley Judd, Jon Voight, Robert De Niro, Tom Sizemore, Val Kilmer|1995||http://www.imdb.com/title/tt0113277/|http://www.guardian.co.uk/film/movie/60365/heat|USA
320|Comedy|Groundhog Day|Harold Ramis|Andie MacDowell, Bill Murray, Chris Elliott, Stephen Tobolowsky|1993||http://www.imdb.com/title/tt0107048/|http://www.guardian.co.uk/film/movie/79383/groundhog-day|USA
321|Comedy|Clueless|Amy Heckerling|Alicia Silverstone, Dan Hedaya, Stacey Dash|1995||http://www.imdb.com/title/tt0112697/|http://www.guardian.co.uk/film/movie/59257/clueless|USA
322|Comedy|The Great Dictator|Charlie Chaplin|Charlie Chaplin, Jack Oakie, Paulette Goddard|1940||http://www.imdb.com/title/tt0032553/|http://www.guardian.co.uk/film/movie/96585/great.dictator|USA
323|Comedy|Clerks|Kevin Smith|Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti|1994||http://www.imdb.com/title/tt0109445/|http://www.guardian.co.uk/film/movie/53831/clerks|USA
