# Source http://www.theguardian.com/news/datablog/2010/oct/16/greatest-films-of-all-time
Entry|Film|Director|Leading actors|Year of cinema release|No of Oscars won|IMDB link|Guardian film page|Country
47|Paths of Glory|Stanley Kubrick|Adolphe Menjou, Kirk Douglas, Ralph Meeker|1957||http://www.imdb.com/title/tt0050825/|http://www.guardian.co.uk/film/movie/76931/paths.of.glory|USA
48|The Wages of Fear|Henri-Georges Clouzot|Charles Vanel, Folco Lulli, Yves Montand|1953||http://www.imdb.com/title/tt0046268/|http://www.guardian.co.uk/film/movie/78592/wages-of-fear|France
49|Crouching Tiger Hidden Dragon|Ang Lee|Chang Chen, Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Ziyi Zhang|2000|4|http://www.imdb.com/title/tt0190332/|http://www.guardian.co.uk/film/movie/86383/crouching.tiger.hidden.dragon|Taiwan
610|Close Encounters|Steven Spielberg|Melinda Dillon, Richard Dreyfuss|1977|1|http://www.imdb.com/title/tt0075860/|http://www.guardian.co.uk/film/movie/36315/close-encounters-of-the-third-kind|USA
610|King Kong|Ernest B Schoedsack, Merian C Cooper|Bruce Cabot, Ernest B Schoedsack, Fay Wray, Frank Reicher, James Flavin, John Armstrong, Noble Jhonson, Robert Armstrong|1933||http://www.imdb.com/title/tt0024216/|http://www.guardian.co.uk/film/movie/36134/king.kong|USA
612|Terminator/Terminator 2|James Cameron|Arnold Schwarzenegger, Linda Hamilton, Michael Biehn|1984/1991|4 altogether|http://www.imdb.com/title/tt0088247/|http://www.guardian.co.uk/film/movie/88018/terminator|USA
613|The Matrix|Andy & Larry Wachowski|Carrie-Anne Moss, Keanu Reeves, Laurence Fishburne|1999|4|http://www.imdb.com/title/tt0133093/|http://www.guardian.co.uk/film/movie/77528/matrix|USA
614|Alphaville|Jean Luc-Godard|Anna Karina, Eddie Constantine|1965||http://www.imdb.com/title/tt0058898/|http://www.guardian.co.uk/film/movie/75764/alphaville|France
615|Back to the Future|Robert Zemeckis|Christopher Lloyd, Crispin Glover, Lea Thompson, Michael J Fox, Michael J. Fox|1985|1|http://www.imdb.com/title/tt0088763/|http://www.guardian.co.uk/film/movie/78042/back-to-the-future|USA
616|Planet of the Apes|Franklin J Schaffner |Charlton Heston, Kim Hunter, Roddy McDowell|1968|1|http://www.imdb.com/title/tt0063442/|http://www.guardian.co.uk/film/movie/95819/planet-of-the-apes|USA
617|Brazil|Terry Gilliam|Jonathan Pryce, Michael Palin, Robert De Niro|1985||http://www.imdb.com/title/tt0088846/|http://www.guardian.co.uk/film/movie/79920/brazil|UK
618|The Lord of the Rings trilogy|Peter Jackson|Cate Blanchett, Dominic Monaghan, Elijah Wood, Hugo Weaving, John Rhys-Davies, Liv Tyler, Miranda Otto, Orlando Bloom, Sean Astin, Sir Ian McKellen, Viggo Mortensen, William Boyd|2001-2003|17 altogether|http://www.imdb.com/title/tt0167260/|http://www.guardian.co.uk/film/movie/92716/lord.of.the.rings|New Zealand
619|Dark Star|John Carpenter|Brian Narelle, Dan O'Bannon, Dre Pahich|1974||http://www.imdb.com/title/tt0069945/|http://www.guardian.co.uk/film/movie/77501/dark-star|USA
69|Star Wars  (1977)|George Lucas|Alec Guinness, Carrie Fisher, David Prowse, Harrison Ford, Mark Hamill, Peter Cushing, Peter Mayhew|1977|6|http://www.imdb.com/title/tt0076759/|http://www.guardian.co.uk/film/movie/36316/star.wars|USA
710|Peeping Tom|Michael Powell|Anna Massey, Carl Boehm, Esmond Knight, Karl Bohm, Maxine Audley, Moira Shearer|1960||http://www.imdb.com/title/tt0054167/|http://www.guardian.co.uk/film/movie/36228/peeping-tom|UK
711|The Innocents|Jack Clayton|Clytie Jessop, Deborah Kerr, Michael Redgrave, Peter Wyngarde|1961||http://www.imdb.com/title/tt0055018/|http://www.guardian.co.uk/film/movie/77279/innocents|USA
722|The Blair Witch Project|Daniel Myrick, E Sanchez|Heather Donahue, Joshua Leonard, Michael C. Williams|1999||http://www.imdb.com/title/tt0185937/|http://www.guardian.co.uk/film/movie/79459/blair.witch.project|USA
723|Evil Dead/Evil Dead II|Sam Raimi|Betsy Baker, Bruce Campbell, Ellen Sandweiss|1981/ 1987||http://www.imdb.com/title/tt0083907/|http://www.guardian.co.uk/film/movie/34582/evil-dead|USA
724|Carrie|Brian De Palma|John Travolta, Piper Laurie, Sissy Spacek|1976||http://www.imdb.com/title/tt0074285/|http://www.guardian.co.uk/film/movie/81489/carrie|USA
725|Les Vampires (1915)|Louis Feuillade|Edouard Mathe, Marcel Levesque|1915||http://www.imdb.com/title/tt0006206/|http://www.guardian.co.uk/film/movie/117077/vampires|France
72|Rosemary’s Baby|Roman Polanski|John Cassavetes, Mia Farrow, Ruth Gordon|1968|1|http://www.imdb.com/title/tt0063522/|http://www.guardian.co.uk/film/movie/80947/rosemary-s-baby|USA
915|Wall-E|Andrew Stanton|Ben Burtt, Fred Willard, Jeff Garlin, Kathy Najimy, Sigourney Weaver|2008|1|http://www.imdb.com/title/tt0910970/|http://www.guardian.co.uk/film/movie/125194/wall-e|USA
